,Dates,EWJ,VB,EEM,VTV,VTI,EFA,VEA,VWO,IWM,IJH,IJR,IWF,VUG,SPY,mu,0.000470706,0.000723156,0.000602255,0.00048788,0.00060917,0.000365491,0.000418555,0.000539102,0.000827748,0.000660334,0.000840463,0.000736915,0.000707436,0.000567947
73,9-Mar-18,0.002480569,0.015139442,0.021350852,0.016923796,0.016600454,0.006398408,0.007371007,0.017864649,0.015982611,0.016412234,0.015265233,0.017155312,0.017670466,0.017402408,,60.68,153.1,49.87,108.41,143.22,70.86,45.17,48.6,159.2,195.29,80.11,144.72,151.11,278.52
74,8-Mar-18,0.006156406,-0.00066357,0.000205339,0.002906977,0.003774122,0.002137361,0.002912186,0.000630915,-0.002041598,-0.001924077,-0.001524197,0.005230052,0.006175353,0.004839064,,60.62,152.88,49.75,108.76,143.3,70.78,45.1,48.43,158.92,195.08,79.81,144.67,150.89,278.87
75,7-Mar-18,-0.008414453,0.005336891,0.001027749,-0.001591611,0.000855249,-0.0002849,-0.001118819,-0.000210261,0.008817661,0.002554611,0.007292733,0.001770037,0.001699409,-0.000366461,,60.47,150.6,48.71,106.95,140.96,70.33,44.77,47.58,156.42,191.93,78.61,142.23,148.27,274.1
76,6-Mar-18,0.006142098,0.009359639,0.0093361,0.001312459,0.003648069,0.005874767,0.008348375,0.002952341,0.010799558,0.010643343,0.012041953,0.003766612,0.004300928,0.002534994,,60.1,150.7,48.7,106.64,140.43,70.18,44.64,47.55,156.74,192.3,78.73,141.49,147.36,272.78
77,5-Mar-18,0.004502251,0.010272109,0.001454394,0.011569464,0.011284722,0.005329876,0.004077934,0.002961083,0.008926813,0.010381175,0.00730403,0.010847701,0.011183211,0.011557901,,60.61,149.9,48.65,106.81,140.31,70.2,44.69,47.56,155.37,191.81,78.16,141.24,147.11,272.88
78,2-Mar-18,0.011298482,0.01260591,0.004172752,0.004572735,0.006479796,0.004776379,0.002953874,0.002544529,0.016005335,0.010327022,0.016439083,0.006071119,0.006531406,0.005155024,,60.24,148.51,48.2,106.67,139.8,69.79,44.32,47.42,153.71,189.79,77.23,140.71,146.48,272.19
79,1-Mar-18,-0.028983134,-0.004116073,-0.001874219,-0.013347119,-0.011870504,-0.016792372,-0.013007401,-0.000211999,-0.002660459,-0.002896063,-0.00409295,-0.013757217,-0.013300425,-0.014540769,,59.97,147,48.13,105.45,138.24,69.42,44.14,47.28,152.35,187.84,76.67,139.2,144.86,269.08
80,28-Feb-18,-0.008764811,-0.01179581,-0.014367816,-0.012530165,-0.011028104,-0.009444601,-0.010430537,-0.012973425,-0.015776381,-0.01213245,-0.018276086,-0.008831426,-0.008766565,-0.010130088,,59.3,145.17,47.93,104.97,137.35,69.09,44.01,47.16,149.95,185.92,75.43,138.36,143.92,267.7
81,27-Feb-18,-0.01360871,-0.013838748,-0.029095257,-0.011015238,-0.012575523,-0.014859047,-0.015297203,-0.026878436,-0.014388025,-0.014205881,-0.014561247,-0.012695313,-0.014268489,-0.012486506,,61.07,145.77,48.02,106.39,139,70.27,44.59,47.17,150.35,186.46,75.74,140.29,145.86,271.65
82,26-Feb-18,0.012974376,0.005039307,0.00925181,0.012265378,0.010506886,0.009391646,0.007929515,0.009455293,0.006559293,0.005514127,0.006815844,0.010930118,0.01069736,0.011612246,,61.61,147.51,48.72,107.74,140.55,70.94,45.06,47.79,152.76,188.75,77.15,141.54,147.15,274.43
